parent_sku,Child_sku,ProductId,Product Name,,,
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-35K,13812,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3500K
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-40K,13813,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),4000K
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-50K,13814,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),5000K
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-30K,13815,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),3000K
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-35K,13816,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),3500K
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-40K,13817,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),4000K
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-50K,13818,[S]Wattage Options,57 Watts,[S]Color Temperature (CCT),5000K
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-30K,13819,[S]Wattage Options,30 Watts,[S]Color Temperature (CCT),3000K
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-35K,13820,[S]Wattage Options,30 Watts,[S]Color Temperature (CCT),3500K
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-40K,13822,[S]Wattage Options,30 Watts,[S]Color Temperature (CCT),4000K
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-50K,13823,[S]Wattage Options,30 Watts,[S]Color Temperature (CCT),5000K
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-30K,13825,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3000K
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-35K,13826,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),3500K
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-40K,13828,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),4000K
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-50K,13830,[S]Wattage Options,48 Watts,[S]Color Temperature (CCT),5000K
