product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage Options","Color Temperature (CCT)","Fixture Options","Beam Angle Options","Connector Type Options","Finish Options","Letter Color Options","Wattage & Lumen Options","Trimplate Options","Length & Wattage Options","Lens Options","Occupancy Sensor","Trim Options","Sensor Options","Battery Options","Size & Wattage Options","Size, Wattage & Lumen Options","Factory Installed Lamps","Mounting Kit","Wiring Options","Voltage Options","Control Options","Fixture Configuration","Mounting Options","Photo Cell","Wattage and Lumen Options","Square Trims Ring Options","Round Trim Ring Options","Square Trim Ring Options",Voltage,"Wattage / Lumen Options"
11424,GC-17T8U6,GC-17T8U6-840/BYP-CASE10,,179.75,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11424,GC-17T8U6,GC-17T8U6-850/BYP-CASE10,,179.75,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11425,GC-8.5PLV,GC-8.5PLV-827/HYBM-CASE10,,175.45,,,,0,,2700K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11425,GC-8.5PLV,GC-8.5PLV-830/HYBM-CASE10,,175.45,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11425,GC-8.5PLV,GC-8.5PLV-835/HYBM-CASE10,,175.45,,,,0,,3500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11425,GC-8.5PLV,GC-8.5PLV-840/HYBM-CASE10,,175.45,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11426,BL-LED-FSP-WH4,BL-LED-FSP-WH4-3K,,25.75,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11426,BL-LED-FSP-WH4,BL-LED-FSP-WH4-4K,,25.75,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11426,BL-LED-FSP-WH4,BL-LED-FSP-WH4-5K,,25.75,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11427,BL-LED-FRP-WH6,BL-LED-FRP-WH6-3K,,32.5,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11427,BL-LED-FRP-WH6,BL-LED-FRP-WH6-4K,,32.5,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11427,BL-LED-FRP-WH6,BL-LED-FRP-WH6-5K,,32.5,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11428,BL-UTDR-4-7L,BL-UTDR-4-7L-3K,,15.36,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11428,BL-UTDR-4-7L,BL-UTDR-4-7L-4K,,15.36,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430,BL-DR-T525W,BL-DR-T525W-35-1-1-1,,18.6,,,,,,3500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430,BL-DR-T525W,BL-DR-T525W-40,,18.6,,,,,,4000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
